iter	MultiClass
0	1.049053108
1	1.003613147
2	0.961986069
3	0.9237015247
4	0.887338916
5	0.8535407025
6	0.8220102817
7	0.7927919124
8	0.7651676503
9	0.7391384021
10	0.7146453799
11	0.6915356877
12	0.6699279324
13	0.6494588858
14	0.6300320916
15	0.6116796347
16	0.5941978722
17	0.5778225722
18	0.5625438868
19	0.5475737312
20	0.5331982399
21	0.5196433751
22	0.5067065787
23	0.4941771573
24	0.482307708
25	0.4709614055
26	0.4601293739
27	0.4499291942
28	0.4401830729
29	0.4307242842
30	0.4216380837
31	0.4129635129
32	0.4047592153
33	0.3968773798
34	0.3891875382
35	0.3817179868
36	0.3745247519
37	0.3675895507
38	0.3609984147
39	0.3546631105
40	0.3484655808
41	0.3424907105
42	0.3368927031
43	0.3314550508
44	0.3262193691
45	0.3212829811
46	0.3164218068
47	0.3118587149
48	0.3073611228
49	0.3030131578
50	0.2989297434
51	0.2949453439
52	0.2909954448
53	0.2873348003
54	0.2837968571
55	0.280339183
56	0.2769550677
57	0.2737865158
58	0.2707089348
59	0.267645634
60	0.2647361157
61	0.2619140412
62	0.2591508624
63	0.2566368863
64	0.2541490957
65	0.2517437615
66	0.2494141214
67	0.2472479874
68	0.2451727524
69	0.2431393959
70	0.2411625923
71	0.2392336751
72	0.23731
73	0.2354245818
74	0.2336290392
75	0.2319267694
76	0.2302625055
77	0.2287042752
78	0.2271274204
79	0.2256127137
80	0.2242238427
81	0.222765554
82	0.2213346415
83	0.2200959791
84	0.2188179322
85	0.2175897713
86	0.216436272
87	0.2152549965
88	0.2141082458
89	0.213009657
90	0.2119460225
91	0.2110320971
92	0.2100647834
93	0.2091714178
94	0.2082900696
95	0.2074583235
96	0.2066070224
97	0.2057534858
98	0.2048564057
99	0.2041306906
100	0.2032933484
101	0.202469617
102	0.2017722577
103	0.2010362347
104	0.2003144599
105	0.1996375086
106	0.1989639834
107	0.198276919
108	0.1977195903
109	0.1971447166
110	0.1965566365
111	0.1959929915
112	0.1954081957
113	0.1949159784
114	0.1944326311
115	0.1938919491
116	0.1934483831
117	0.1929466062
118	0.1924855241
119	0.1920786752
120	0.1916493591
121	0.1912226675
122	0.1908002098
123	0.1904024342
124	0.1900235703
125	0.1896370351
126	0.1892613165
127	0.1889024912
128	0.1885833382
129	0.1882752336
130	0.1879551372
131	0.1876579801
132	0.1873224673
133	0.1870068925
134	0.1866966416
135	0.186370994
136	0.18611519
137	0.1858222274
138	0.1855973253
139	0.1853719032
140	0.1851017428
141	0.1848230032
142	0.1845696557
143	0.1843110424
144	0.1840787451
145	0.1838656351
146	0.183642938
147	0.1833812506
148	0.1831385399
149	0.1829170938
150	0.1827209621
151	0.1825236458
152	0.1823431043
153	0.1821571434
154	0.182033503
155	0.1818444013
156	0.1816236411
157	0.1814723422
158	0.1813005311
159	0.1811150177
160	0.1809224282
161	0.1808094847
162	0.1806202237
163	0.1804394709
164	0.1802941937
165	0.1801519473
166	0.1800162141
167	0.1798656875
168	0.1797207679
169	0.1796082131
170	0.179475789
171	0.1793533214
172	0.1791948761
173	0.1790476884
174	0.1789171568
175	0.1787848263
176	0.1786772311
177	0.1785730123
178	0.1784575715
179	0.1783610634
180	0.1783014353
181	0.1782026529
182	0.1780850526
183	0.1780066919
184	0.1779061023
185	0.1777956558
186	0.1776951555
187	0.1775575228
188	0.1774739228
189	0.1773493025
190	0.1772514942
191	0.1771201618
192	0.1770286006
193	0.1769391611
194	0.1768599527
195	0.1767748191
196	0.1767089649
197	0.1766440349
198	0.1765395611
199	0.1764549279
200	0.1764082844
201	0.1763265681
202	0.1762466853
203	0.1761579295
204	0.1760721935
205	0.1759619655
206	0.1758565349
207	0.1758176399
208	0.1757634213
209	0.1756330774
210	0.1755482506
211	0.1754776275
212	0.1754391453
213	0.1753662482
214	0.1752844701
215	0.1752335472
216	0.1751538147
217	0.1750720245
218	0.1749893533
219	0.1749470382
220	0.1748866569
221	0.1748303459
222	0.1747339852
223	0.1746575681
224	0.1745969613
225	0.1745598936
226	0.1744995616
227	0.1744121293
228	0.1743294012
229	0.1742974889
230	0.1742504611
231	0.1741854584
232	0.1741391715
233	0.1740809796
234	0.174005863
235	0.1739786553
236	0.1739185184
237	0.1738413058
238	0.1737755292
239	0.1737185999
240	0.1736915335
241	0.1736503846
242	0.1735982906
243	0.1735395828
244	0.1734769683
245	0.1734263644
246	0.1733651182
247	0.1733003779
248	0.1732608066
249	0.1731653513
250	0.173121915
251	0.17307822
252	0.1730232313
253	0.172953206
254	0.1728848765
255	0.1728080233
256	0.1727583867
257	0.1727070379
258	0.1726573907
259	0.1726358812
260	0.1725831866
261	0.1725056458
262	0.1724475444
263	0.1724073135
264	0.1723837981
265	0.1723337085
266	0.1722872774
267	0.1722534758
268	0.1722079447
269	0.1721604247
270	0.1721153488
271	0.1720586641
272	0.1719786851
273	0.1719598594
274	0.1719131023
275	0.1718635809
276	0.171817421
277	0.1717581102
278	0.1717223458
279	0.1716666702
280	0.1716162315
281	0.1715726318
282	0.171515593
283	0.1714691509
284	0.1714058998
285	0.1713768682
286	0.171334091
287	0.1712612843
288	0.171205125
289	0.1711746744
290	0.1711107583
291	0.1710408807
292	0.1709941797
293	0.1709902792
294	0.1709318961
295	0.1709118212
296	0.1708893904
297	0.1708374161
298	0.1708245211
299	0.1707595475
300	0.1707397228
301	0.1706999303
302	0.1706518628
303	0.1706220057
304	0.170567412
305	0.1705161725
306	0.1704605771
307	0.1704455465
308	0.1703820702
309	0.1703367682
310	0.17028528
311	0.1702511446
312	0.1702276209
313	0.1701964926
314	0.1701653277
315	0.1701067185
316	0.1700595609
317	0.1700453405
318	0.1699499826
319	0.1699047456
320	0.169860335
321	0.1698138381
322	0.1697908562
323	0.1697320518
324	0.1696782686
325	0.1696426671
326	0.1696152889
327	0.1696113691
328	0.1695847983
329	0.1695436979
330	0.1695063972
331	0.1694741399
332	0.1694052445
333	0.1693603534
334	0.1693173325
335	0.1692544954
336	0.1692091013
337	0.169145753
338	0.1691020926
339	0.1690750285
340	0.1690340801
341	0.1690004952
342	0.1689507189
343	0.1688982278
344	0.1688332496
345	0.1687777597
346	0.1687290892
347	0.1686877705
348	0.1686511364
349	0.1686122279
350	0.1685742492
351	0.1685243746
352	0.1684566407
353	0.1684267669
354	0.1683809741
355	0.1683615532
356	0.1683180018
357	0.1682961472
358	0.1682584919
359	0.1682236276
360	0.1682039125
361	0.1681575407
362	0.1681106631
363	0.1680778626
364	0.1680692354
365	0.1680121168
366	0.167989505
367	0.1679043438
368	0.1678516273
369	0.1678107011
370	0.1677831742
371	0.1677510931
372	0.1676953985
373	0.1676446527
374	0.167614058
375	0.167553648
376	0.1675174034
377	0.1674921348
378	0.1674386707
379	0.1673958401
380	0.1673617607
381	0.1673488757
382	0.1673083289
383	0.1672883076
384	0.1672304746
385	0.167170203
386	0.167128288
387	0.1670821404
388	0.1670220732
389	0.1669998062
390	0.1669741115
391	0.1669664196
392	0.1669290024
393	0.1668751444
394	0.1668196809
395	0.1667722649
396	0.1667637611
397	0.166725546
398	0.1667072344
399	0.1666425735
400	0.1666167976
401	0.1665768856
402	0.1665387426
403	0.1665121482
404	0.1664775851
405	0.1664382033
406	0.1664034914
407	0.1663652876
408	0.1663271069
409	0.1662846684
410	0.1662514834
411	0.1662260518
412	0.166182177
413	0.1661646683
414	0.1661495539
415	0.1661140388
416	0.1660747428
417	0.1660350449
418	0.1660072681
