iter	Passed	Remaining
0	548	1645205
1	1138	1707129
2	1806	1804838
3	2446	1832213
4	2989	1790807
5	3567	1780085
6	4131	1766665
7	4729	1768874
8	5402	1795539
9	5986	1790109
10	6602	1794126
11	7155	1781647
12	7731	1776424
13	8298	1770019
14	9001	1791373
15	9579	1786596
16	10172	1784932
17	10689	1770846
18	11338	1778887
19	12059	1796900
20	12728	1805637
21	13345	1806537
22	13999	1812022
23	14682	1820596
24	15375	1829696
25	15982	1828104
26	16712	1840227
27	17310	1837359
28	17902	1834076
29	18474	1828928
30	19222	1841036
31	19841	1840301
32	20568	1849256
33	21354	1862853
34	22132	1874978
35	22791	1876474
36	23413	1874992
37	24080	1877020
38	24793	1882396
39	25425	1881517
40	26131	1885903
41	26825	1889262
42	27499	1891089
43	28059	1885104
44	28718	1885854
45	29311	1882339
46	29930	1880520
47	30618	1883024
48	31259	1882564
49	32015	1888919
50	32670	1889109
51	33276	1886538
52	33924	1886304
53	34653	1890536
54	35318	1891141
55	35905	1887580
56	36694	1894591
57	37523	1903324
58	38231	1905757
59	38850	1903689
60	39592	1907559
61	40301	1909747
62	40900	1906736
63	41638	1910149
64	42424	1915627
65	43108	1916349
66	43824	1918482
67	44509	1919134
68	45177	1919040
69	45812	1917570
70	46571	1921231
71	47288	1923054
72	48040	1926222
73	48739	1927170
74	49420	1927418
75	50041	1925286
76	50641	1922385
77	51309	1922122
78	52056	1924776
79	52643	1921497
80	53291	1920470
81	54380	1935143
82	55378	1946255
83	56398	1957832
84	57166	1960473
85	57886	1961396
86	58540	1960110
87	59085	1955200
88	59723	1953428
89	60340	1951014
90	60949	1948382
91	61665	1949155
92	62418	1951076
93	63076	1950015
94	63659	1946631
95	64314	1945514
96	64982	1944784
97	65741	1946766
98	66353	1944348
99	67126	1946669
100	67885	1948522
101	68481	1945684
102	69267	1948234
103	69967	1948322
104	70629	1947352
105	71332	1947510
106	72019	1947231
107	72757	1948287
108	73660	1953701
109	74488	1957006
110	75163	1956271
111	75921	1957680
112	76640	1958053
113	77442	1960510
114	78235	1962680
115	79069	1965831
116	79883	1968409
117	80607	1968731
118	81330	1969024
119	81952	1966848
120	82795	1969986
121	83627	1972795
122	84378	1973628
123	85118	1974195
124	85921	1976194
125	86694	1977469
126	87385	1976838
127	88247	1980042
128	89035	1981566
129	89896	1984640
130	90699	1986395
131	91353	1984863
132	92314	1989969
133	93267	1994816
134	94179	1998698
135	95028	2001197
136	95876	2003600
137	96853	2008657
138	97605	2008985
139	98479	2011793
140	99284	2013158
141	100046	2013605
142	100859	2015081
143	101682	2016711
144	102332	2014897
145	103183	2017034
146	104010	2018648
147	104792	2019387
148	105657	2021665
149	106336	2020393
150	107201	2022622
151	108055	2024616
152	109173	2031486
153	110232	2037151
154	111067	2038619
155	111793	2038088
156	112472	2036687
157	113194	2036067
158	114012	2037175
159	114939	2040183
160	115772	2041479
161	116566	2042072
162	117249	2040722
163	118272	2045243
164	118994	2044548
165	119835	2045874
166	120585	2045629
167	121357	2045737
168	122305	2048802
169	123050	2048425
170	123811	2048323
171	124469	2046509
172	125133	2044816
173	125869	2044298
174	126631	2044196
175	127335	2043152
176	128083	2042824
177	129061	2046134
178	129731	2044534
179	130437	2043516
180	131079	2041509
181	132062	2044794
182	132908	2045925
183	133853	2048547
184	134610	2048255
185	135428	2048902
186	136237	2049391
187	137171	2051736
188	137898	2050964
189	138632	2050305
190	139312	2048836
191	139999	2047492
192	140564	2044379
193	141274	2043378
194	142021	2042919
195	142755	2042282
196	143557	2042593
197	144392	2043378
198	144886	2039334
199	145724	2040147
200	146602	2041499
